ha_original,ha_atual,var_floresta,pasto_recente,lavoura_ativa_crops,mosaico_mapbiomas_c21,classe_risco
114.49,82.79,-31.7,40.8,4.58,1,1
12.58,12.78,0.2,52.52,0.43,0,2
81.57,81.54,-0.03,21.84,0.28,0,2
35.96,37.23,1.27,1.32,7.96,1,0
144.37,123.28,-21.09,23.24,3.27,0,2
100.96,101.42,0.46,27.83,0.32,0,2
17.57,17.49,-0.08,1.38,0.0,0,2
96.08,96.42,0.34,2.63,0.0,0,2
109.98,110.29,0.31,1.24,19.52,1,0
12.07,11.88,-0.19,37.42,0.48,0,2
107.79,107.96,0.17,0.92,0.0,0,2
44.04,45.98,1.94,0.29,10.63,1,0
14.97,0.1,-14.87,12.74,4.11,1,1
117.69,117.57,-0.12,3.5,0.0,0,2
48.68,48.78,0.1,0.0,0.0,0,2
101.24,100.82,-0.42,1.71,0.0,0,2
12.41,13.59,1.18,1.55,14.89,1,0
99.71,60.69,-39.02,26.4,1.37,0,1
8.15,0.1,-8.05,24.72,1.84,1,1
124.22,115.18,-9.04,38.72,3.24,1,1
66.84,66.7,-0.14,2.08,0.0,0,2
126.53,127.28,0.75,52.33,0.86,0,2
70.29,71.42,1.13,1.54,6.09,1,0
118.74,119.52,0.78,0.09,12.4,1,0
99.84,89.13,-10.71,38.26,3.85,1,1
91.74,59.26,-32.48,17.4,3.19,1,1
129.79,109.8,-19.99,12.78,3.75,0,1
46.74,46.78,0.04,38.75,0.71,0,2
43.84,43.42,-0.42,2.4,0.0,0,2
71.63,66.14,-5.49,45.23,2.83,1,1
141.41,142.65,1.24,0.0,15.49,1,0
114.14,69.77,-44.37,42.74,1.14,0,1
129.8,129.99,0.19,1.87,0.0,0,2
128.48,130.0,1.52,1.49,13.89,1,0
141.16,142.72,1.56,0.22,10.6,1,0
130.38,132.0,1.62,0.4,7.67,1,2
50.55,52.4,1.85,0.71,12.99,1,0
69.59,69.22,-0.37,1.82,0.0,0,2
114.27,115.89,1.62,0.0,14.56,1,0
64.62,66.13,1.51,0.69,19.93,1,0
118.85,118.81,-0.04,3.11,0.0,0,2
140.48,140.21,-0.27,52.39,0.33,0,2
85.11,46.49,-38.62,46.21,4.12,0,0
10.94,0.1,-10.84,20.59,2.36,1,1
26.58,12.91,-13.67,29.69,1.51,1,1
62.54,62.45,-0.09,43.17,0.11,0,2
133.52,134.02,0.5,0.74,5.08,1,0
145.25,146.95,1.7,1.41,17.19,1,0
118.94,120.69,1.75,0.0,8.62,1,0
77.2,77.09,-0.11,15.69,0.07,0,2
81.86,82.4,0.54,2.23,0.0,0,2
61.0,60.76,-0.24,21.11,0.15,0,1
100.02,101.1,1.08,1.51,10.7,1,0
39.97,39.43,-0.54,0.28,0.0,0,2
149.46,149.67,0.21,46.8,0.9,0,2
47.7,48.42,0.72,0.07,8.59,1,0
129.82,130.21,0.39,0.0,11.04,1,0
86.38,73.03,-13.35,32.67,3.85,0,2
23.57,0.1,-23.47,24.49,2.75,1,1
72.77,73.42,0.65,0.65,13.55,1,0
149.11,148.66,-0.45,0.76,0.0,0,2
46.43,45.43,-1.0,3.62,0.0,0,2
106.61,106.22,-0.39,1.17,0.0,0,2
49.41,49.81,0.4,2.63,0.0,0,2
116.61,115.96,-0.65,1.1,0.0,0,2
49.04,49.37,0.33,36.99,0.11,0,2
104.65,104.7,0.05,2.72,0.0,0,2
71.45,71.67,0.22,0.88,0.0,0,2
31.11,31.71,0.6,2.45,0.0,0,2
85.25,85.5,0.25,0.0,16.26,1,0
62.59,63.12,0.53,0.0,15.17,1,0
18.52,1.64,-16.88,33.5,3.02,1,1
39.44,39.73,0.29,38.74,0.76,0,2
114.66,115.26,0.6,43.36,0.7,0,2
73.73,74.4,0.67,28.68,0.96,0,2
50.13,50.07,-0.06,41.17,0.56,0,2
31.4,31.12,-0.28,54.15,0.14,0,2
147.03,147.73,0.7,0.15,6.68,1,0
97.17,81.56,-15.61,32.33,1.21,0,1
142.41,141.73,-0.68,53.13,0.24,0,2
100.05,101.79,1.74,1.33,10.4,1,0
118.78,118.82,0.04,15.08,0.35,0,2
73.1,73.57,0.47,0.78,5.39,1,0
61.88,40.15,-21.73,28.19,4.55,1,1
21.09,20.93,-0.16,1.46,0.0,0,2
87.96,75.99,-11.97,25.16,2.18,0,1
12.13,0.1,-12.03,27.18,1.66,0,1
69.8,70.96,1.16,1.13,18.77,1,0
130.69,94.52,-36.17,38.5,2.5,0,1
140.92,141.19,0.27,18.61,0.96,0,2
141.67,141.74,0.07,20.07,0.29,0,2
44.58,20.62,-23.96,20.16,2.35,1,1
45.18,41.67,-3.51,22.33,1.97,1,1
64.76,65.76,1.0,0.46,6.23,1,0
119.92,120.22,0.3,2.59,0.0,0,0
17.62,18.47,0.85,1.79,6.85,1,0
50.74,6.5,-44.24,38.29,2.69,0,1
88.74,90.71,1.97,1.22,15.22,1,0
89.85,89.97,0.12,0.47,14.77,1,0
22.57,21.76,-0.81,29.05,0.51,0,2
144.85,146.57,1.72,1.36,17.93,1,0
62.01,62.68,0.67,0.92,2.77,1,0
25.26,25.93,0.67,2.04,0.0,0,2
35.41,35.58,0.17,51.37,0.54,0,2
141.14,141.31,0.17,18.69,0.86,0,2
45.46,45.23,-0.23,1.59,0.0,0,2
77.51,77.65,0.14,1.96,0.0,0,2
67.67,27.15,-40.52,26.65,3.24,1,1
94.49,94.73,0.24,0.46,7.75,1,0
95.24,96.78,1.54,0.65,13.79,1,0
126.4,100.18,-26.22,16.18,0.92,1,1
140.68,117.47,-23.21,50.12,4.83,1,1
73.92,74.23,0.31,2.63,0.0,0,2
28.79,7.13,-21.66,30.83,3.05,1,1
125.05,125.29,0.24,0.93,13.99,1,0
106.29,70.06,-36.23,47.76,0.88,0,1
49.56,7.76,-41.8,40.18,2.0,0,1
82.27,82.32,0.05,23.43,0.11,0,2
65.24,64.8,-0.44,0.0,0.0,0,2
56.65,55.9,-0.75,29.94,0.27,0,2
43.14,42.46,-0.68,0.0,0.0,0,2
21.59,21.93,0.34,0.51,0.0,0,2
143.08,136.41,-6.67,28.37,0.75,0,1
23.31,23.14,-0.17,1.64,0.0,0,2
90.04,89.52,-0.52,25.53,0.43,0,2
127.69,127.48,-0.21,1.92,20.52,1,0
133.79,133.86,0.07,4.35,0.0,0,2
