codigo_ibge,municipio,uf,modulo_fiscal_ha
2511400,Picuí,PB,55.0
2507507,João Pessoa,PB,15.0
2504009,Campina Grande,PB,20.0
3550308,São Paulo,SP,5.0
3516200,Franca,SP,20.0
3543402,Ribeirão Preto,SP,15.0
5107909,Sinop,MT,80.0
5107602,Rondonópolis,MT,60.0
5103403,Cuiabá,MT,50.0
1501402,Belém,PA,5.0
1506807,Santarém,PA,75.0
1500602,Altamira,PA,75.0
4106902,Curitiba,PR,5.0
4113700,Londrina,PR,18.0
4314902,Porto Alegre,RS,5.0
4305108,Caxias do Sul,RS,12.0
3106200,Belo Horizonte,MG,5.0
3154606,Ribeirão das Neves,MG,18.0
2111300,São Luís,MA,25.0
2105302,Imperatriz,MA,45.0
2927408,Salvador,BA,7.0
2910800,Feira de Santana,BA,20.0
2304400,Fortaleza,CE,12.0
2312908,Sobral,CE,30.0
3164308,São Roque de Minas,MG,35.0
